"addi C3 NMR shift","aryl hali C1 NMR","base N1 elec charge","liga C10 NMR shift","y.obs","mu.hat","g(mu.hat)","intercept","addi","aryl","base","liga","addi:aryl","addi:base","addi:liga","aryl:base","aryl:liga","base:liga","addi:aryl:base","addi:aryl:liga","addi:base:liga","aryl:base:liga","addi:aryl:base:liga"
"150.81","-1201.76","-0.611","139.04","0.9567591","0.8984776","9.8449030","-7.81691913"," 3.64014486"," 9.07355007"," 2.85275059","-0.51816555","-0.07029500","-0.87242441"," 0.42727533"," 2.08339405"," 0.67780835"," 0.70601977"," 0.02763194","-0.05672694","-0.17346735","-0.10379903","-0.03187458"
"153.74","156.88","-0.611","139.04","0.9555515","0.9016054","10.1591626","-7.81691913"," 2.94516355"," 7.82963670"," 2.85275059","-0.51816555"," 2.12215869","-0.92506749"," 0.03969643"," 0.75654724","-0.57440960"," 0.70601977"," 2.06425068","-0.53319185","-0.18705191"," 0.27153911"," 1.12620539"
"154.33","-1201.76","-0.611","140.09","0.9538649","0.9067484","10.7211433","-7.81691913"," 3.93512034"," 9.07355007"," 2.85275059"," 2.49920978"," 0.05249803","-0.75093679","-0.18325430"," 2.08339405","-0.78274922"," 0.22397904","-0.36997746"," 0.06636202","-0.06971051","-0.17935012"," 0.08717687"
"154.33","133.69","-0.611","139.04","0.9512898","0.8509329","6.6506161","-7.81691913"," 3.93512034"," 5.50410692"," 2.85275059","-0.51816555","-0.73697417","-0.75093679"," 1.10408593"," 0.61729364"," 0.61688435"," 0.70601977"," 1.16141102","-0.01576886","-0.20167219"," 0.09136996"," 0.10201031"
"143.12","-1201.76","-0.611","139.04","0.9507020","0.8910461","9.1694252","-7.81691913"," 0.45855140"," 9.07355007"," 2.85275059","-0.51816555"," 0.45880454"," 1.03994982"," 0.05903176"," 2.08339405"," 0.67780835"," 0.70601977","-0.02822168","-0.07220880"," 0.27817486","-0.10379903"," 0.02070421"
"154.33","133.69","-0.611","140.09","0.9487995","0.8814842","8.4220561","-7.81691913"," 3.93512034"," 5.50410692"," 2.85275059"," 2.49920978","-0.73697417","-0.75093679","-0.18325430"," 0.61729364"," 0.99513518"," 0.22397904"," 1.16141102","-0.12431400","-0.06971051"," 0.18122197"," 0.13393653"
"153.74","-332.15","-0.611","140.09","0.9469105","0.8768395","8.0995082","-7.81691913"," 2.94516355"," 7.33348492"," 2.85275059"," 2.49920978"," 0.35181680","-0.92506749","-0.41578176"," 1.16095476","-0.42189627"," 0.22397904","-0.12134554"," 0.17341109"," 0.21515609"," 0.07166140","-0.02706959"
"151.95","-332.15","-0.611","139.04","0.9454981","0.8795084","8.2819395","-7.81691913"," 3.59999277"," 7.33348492"," 2.85275059","-0.51816555","-1.11628756","-0.87311884"," 0.43744683"," 1.16095476"," 1.33831706"," 0.70601977"," 1.27704856","-0.08796261","-0.42173839"," 0.26455964"," 0.14555673"
"153.74","-332.15","-0.611","139.04","0.9450097","0.8675389","7.5185540","-7.81691913"," 2.94516355"," 7.33348492"," 2.85275059","-0.51816555"," 0.35181680","-0.92506749"," 0.03969643"," 1.16095476"," 1.33831706"," 0.70601977","-0.12134554"," 0.13538572","-0.18705191"," 0.26455964","-0.04104559"
"140.71","133.69","-0.611","140.09","0.9434623","0.8778616","8.1684727","-7.8169191"," 1.6733320"," 5.5041069"," 2.8527506"," 2.4992098"," 1.6433960","-0.7048649"," 1.1255602"," 0.6172936"," 0.9951352"," 0.2239790","-1.3011210","-0.3078156"," 0.8219132"," 0.1812220"," 0.1612949"
"151.95","-1201.76","-0.755","139.04","0.9429691","0.7827011","4.3376616","-7.81691913"," 3.59999277"," 9.07355007","-2.27100831","-0.51816555"," 0.28244280"," 0.07392529"," 0.43744683","-1.37231487"," 0.67780835","-0.24948495"," 0.42795523","-0.08503281"," 0.82608345"," 1.26562381","-0.01424134"
"156.59","-1201.76","-0.611","139.04","0.9415174","0.8970474","9.7074724","-7.8169191298"," 4.1516550932"," 9.0735500727"," 2.8527505907","-0.5181655533","-1.1359164816","-0.5886760573"," 0.2898392407"," 2.0833940506"," 0.6778083545"," 0.7060197730","-0.0083447222"," 0.0007017797"," 0.0660008933","-0.1037990260","-0.0224264698"
"154.33","-1201.76","-0.611","139.04","0.9414847","0.9046422","10.4837405","-7.81691913"," 3.93512034"," 9.07355007"," 2.85275059","-0.51816555"," 0.05249803","-0.75093679"," 1.10408593"," 2.08339405"," 0.67780835"," 0.70601977","-0.36997746","-0.18283056","-0.20167219","-0.10379903","-0.05718588"
"150.81","-1201.76","-0.611","140.09","0.9387454","0.9021852","10.2195955","-7.81691913"," 3.64014486"," 9.07355007"," 2.85275059"," 2.49920978","-0.07029500","-0.87242441","-0.18104514"," 2.08339405","-0.78274922"," 0.22397904"," 0.02763194"," 0.01333515","-0.26306855","-0.17935012","-0.02854845"
"151.95","133.69","-0.611","139.15","0.9374858","0.8538543","6.7901680","-7.81691913"," 3.59999277"," 5.50410692"," 2.85275059"," 1.46124871","-0.64518721","-0.87311884","-0.43274835"," 0.61729364"," 0.46056003"," 0.67695218"," 1.14444375","-0.18094261"," 0.09112835"," 0.06651724"," 0.26408991"
"152.73","-332.15","-0.611","139.15","0.9358777","0.8767386","8.0927600","-7.81691913"," 2.92785568"," 7.33348492"," 2.85275059"," 1.46124871"," 0.44912053","-0.95370397","-0.25126310"," 1.16095476"," 0.04151308"," 0.67695218","-0.35046737","-0.06531327"," 0.10934619"," 0.43545984"," 0.08174035"
"151.67","156.88","-0.611","139.04","0.9356409","0.8826171","8.5044523","-7.8169191","-4.2733773"," 7.8296367"," 2.8527506","-0.5181656","-0.2960719"," 6.2910166"," 0.2833804"," 0.7565472","-0.5744096"," 0.7060198"," 0.9007238"," 0.7861072"," 0.2836570"," 0.2715391"," 1.0220175"
"154.33","-332.15","-0.611","140.09","0.9342111","0.8891520","9.0114447","-7.81691913"," 3.93512034"," 7.33348492"," 2.85275059"," 2.49920978","-1.28764787","-0.75093679","-0.18325430"," 1.16095476","-0.42189627"," 0.22397904"," 1.24982939"," 0.04469452","-0.06971051"," 0.07166140"," 0.17012483"
"150.81","156.88","-0.611","140.09","0.9331083","0.9134658","11.5548386","-7.8169191"," 3.6401449"," 7.8296367"," 2.8527506"," 2.4992098"," 0.2794230","-0.8724244","-0.1810451"," 0.7565472"," 0.3150451"," 0.2239790"," 0.4966684"," 0.9427388","-0.2630685"," 0.4383912"," 0.4137611"
"151.95","-332.15","-0.611","139.15","0.9310117","0.8837551","8.5887657","-7.81691913"," 3.59999277"," 7.33348492"," 2.85275059"," 1.46124871","-1.11628756","-0.87311884","-0.43274835"," 1.16095476"," 0.04151308"," 0.67695218"," 1.27704856","-0.18567370"," 0.09112835"," 0.43545984"," 0.08297954"
"140.71","156.88","-0.611","140.09","0.9309951","0.8988831","9.8845602","-7.8169191"," 1.6733320"," 7.8296367"," 2.8527506"," 2.4992098","-2.0542657","-0.7048649"," 1.1255602"," 0.7565472"," 0.3150451"," 0.2239790","-0.3122299"," 1.6450769"," 0.8219132"," 0.4383912"," 0.5913979"
"151.95","156.88","-0.611","139.15","0.9303256","0.9113169","11.2744897","-7.81691913"," 3.59999277"," 7.82963670"," 2.85275059"," 1.46124871"," 1.16562745","-0.87311884","-0.43274835"," 0.75654724"," 0.34993262"," 0.67695218"," 0.62390705"," 2.40526549"," 0.09112835","-0.88966549","-0.52604761"
"140.71","-332.15","-0.611","140.09","0.9302887","0.8881269","8.9281112","-7.81691913"," 1.67333197"," 7.33348492"," 2.85275059"," 2.49920978"," 1.11358784","-0.70486488"," 1.12556021"," 1.16095476","-0.42189627"," 0.22397904","-0.85859341","-0.22077145"," 0.82191319"," 0.07166140"," 0.07472263"
"143.12","-332.15","-0.611","139.15","0.9295670","0.8786440","8.2220091","-7.81691913"," 0.45855140"," 7.33348492"," 2.85275059"," 1.46124871"," 0.19865440"," 1.03994982","-1.03726638"," 1.16095476"," 0.04151308"," 0.67695218"," 0.12261677"," 0.44788194"," 0.67912975"," 0.43545984"," 0.16704642"
"143.12","156.88","-0.611","140.09","0.9291423","0.9071890","10.7721475","-7.81691913"," 0.45855140"," 7.82963670"," 2.85275059"," 2.49920978"," 0.45461758"," 1.03994982"," 1.29626595"," 0.75654724"," 0.31504510"," 0.22397904","-0.07294688"," 0.41699484","-0.21872111"," 0.43839117"," 0.29879539"
"151.95","-1201.76","-0.755","139.15","0.9290401","0.8200887","5.4248611","-7.81691913"," 3.59999277"," 9.07355007","-2.27100831"," 1.46124871"," 0.28244280"," 0.07392529","-0.43274835","-1.37231487"," 1.13046164","-0.92414298"," 0.42795523"," 0.53116391","-0.23049274"," 1.36584137"," 0.52590566"
"154.33","156.88","-0.611","139.04","0.9289765","0.8877690","8.8993699","-7.81691913"," 3.93512034"," 7.82963670"," 2.85275059","-0.51816555"," 0.58229400","-0.75093679"," 1.10408593"," 0.75654724","-0.57440960"," 0.70601977"," 0.01450406"," 0.36601506","-0.20167219"," 0.27153911"," 0.34296038"
"151.95","133.69","-0.611","140.09","0.9272371","0.8696195","7.6417111","-7.816919130"," 3.599992768"," 5.504106923"," 2.852750591"," 2.499209779","-0.645187206","-0.873118845","-0.538447659"," 0.617293639"," 0.995135176"," 0.223979039"," 1.144443747","-0.167357879"," 0.004512819"," 0.181221970"," 0.060095366"
"150.81","-332.15","-0.611","139.04","0.9265898","0.8802043","8.3307807","-7.81691913"," 3.64014486"," 7.33348492"," 2.85275059","-0.51816555","-0.23009770","-0.87242441"," 0.42727533"," 1.16095476"," 1.33831706"," 0.70601977"," 0.13884528"," 0.05994816","-0.17346735"," 0.26455964"," 0.01955450"
"153.74","133.69","-0.611","140.09","0.9257248","0.8627811","7.2500819","-7.816919130"," 2.945163547"," 5.504106923"," 2.852750591"," 2.499209779"," 0.617553586","-0.925067489","-0.415781760"," 0.617293639"," 0.995135176"," 0.223979039","-0.153151826"," 0.004086854"," 0.215156094"," 0.181221970","-0.094655127"
"154.33","-332.15","-0.611","139.04","0.9239124","0.8929161","9.3307457","-7.8169191"," 3.9351203"," 7.3334849"," 2.8527506","-0.5181656","-1.2876479","-0.7509368"," 1.1040859"," 1.1609548"," 1.3383171"," 0.7060198"," 1.2498294","-0.1227147","-0.2016722"," 0.2645596"," 0.0836795"
"154.33","-1201.76","-0.611","139.15","0.9235382","0.9126754","11.4501316","-7.81691913"," 3.93512034"," 9.07355007"," 2.85275059"," 1.46124871"," 0.05249803","-0.75093679","-0.23110066"," 2.08339405"," 1.13046164"," 0.67695218","-0.36997746"," 0.30284937","-0.41136165","-0.39309439","-0.14530336"
"151.95","-332.15","-0.611","140.09","0.9225603","0.8798106","8.3030829","-7.816919130"," 3.599992768"," 7.333484917"," 2.852750591"," 2.499209779","-1.116287560","-0.873118845","-0.538447659"," 1.160954759","-0.421896272"," 0.223979039"," 1.277048560","-0.052672209"," 0.004512819"," 0.071661402"," 0.098829923"
"142.24","-332.15","-0.611","139.15","0.9220931","0.8643067","7.3342515","-7.81691913","-0.84134113"," 7.33348492"," 2.85275059"," 1.46124871","-0.18811495"," 1.79075040","-0.97738132"," 1.16095476"," 0.04151308"," 0.67695218"," 0.33857533"," 0.04665767"," 0.80158341"," 0.43545984"," 0.21807714"
"151.95","156.88","-0.611","140.09","0.9213719","0.9154819","11.8307715","-7.816919130"," 3.599992768"," 7.829636695"," 2.852750591"," 2.499209779"," 1.165627454","-0.873118845","-0.538447659"," 0.756547236"," 0.315045097"," 0.223979039"," 0.623907047","-0.047190435"," 0.004512819"," 0.438391168"," 0.796847899"
"143.12","-332.15","-0.611","139.04","0.9213068","0.8646230","7.3519293","-7.81691913"," 0.45855140"," 7.33348492"," 2.85275059","-0.51816555"," 0.19865440"," 1.03994982"," 0.05903176"," 1.16095476"," 1.33831706"," 0.70601977"," 0.12261677","-0.08638638"," 0.27817486"," 0.26455964","-0.03966539"
"152.73","-332.15","-0.611","139.04","0.9212702","0.8628763","7.2552794","-7.81691913"," 2.92785568"," 7.33348492"," 2.85275059","-0.51816555"," 0.44912053","-0.95370397","-0.18442575"," 1.16095476"," 1.33831706"," 0.70601977","-0.35046737","-0.15479477"," 0.21207710"," 0.26455964","-0.01138414"
"163.09","-1201.76","-0.611","139.04","0.9211973","0.8761534","8.0538293","-7.81691913"," 0.24495780"," 9.07355007"," 2.85275059","-0.51816555"," 2.12446249","-3.60084064"," 0.68957260"," 2.08339405"," 0.67780835"," 0.70601977"," 1.65782193"," 0.22881153","-0.33123341","-0.10379903"," 0.08563792"
"143.12","-1201.76","-0.611","139.15","0.9200325","0.9050685","10.5309521","-7.81691913"," 0.45855140"," 9.07355007"," 2.85275059"," 1.46124871"," 0.45880454"," 1.03994982","-1.03726638"," 2.08339405"," 1.13046164"," 0.67695218","-0.02822168","-0.05756368"," 0.67912975","-0.39309439","-0.05077538"
"154.33","-1201.76","-0.784","140.09","0.9193340","0.8501325","6.6132431","-7.81691913"," 3.93512034"," 9.07355007","-0.58174228"," 2.49920978"," 0.05249803"," 0.92864502","-0.18325430","-0.71107918","-0.78274922"," 0.14951019","-0.21918651"," 0.06636202","-0.03656836"," 0.15664787"," 0.08319872"
"142.24","-332.15","-0.611","139.04","0.9169840","0.8546301","6.8280824","-7.81691913","-0.84134113"," 7.33348492"," 2.85275059","-0.51816555","-0.18811495"," 1.79075040","-0.02851079"," 1.16095476"," 1.33831706"," 0.70601977"," 0.33857533","-0.07450527"," 0.55244489"," 0.26455964","-0.04221814"
"153.74","156.88","-0.755","139.15","0.9165244","0.8991544","9.9112703","-7.8169191"," 2.9451635"," 7.8296367","-2.2710083"," 1.4612487"," 2.1221587"," 1.5515521","-0.5115473","-0.6286129"," 0.3499326","-0.9241430","-0.8081690"," 2.9015297","-0.1824272"," 1.6676072"," 2.2252679"
"150.81","133.69","-0.611","139.04","0.9152862","0.8233721","5.5377479","-7.8169191298"," 3.6401448641"," 5.5041069226"," 2.8527505907","-0.5181655533"," 0.2153857646","-0.8724244051"," 0.4272753268"," 0.6172936394"," 0.6168843460"," 0.7060197730"," 0.0008335701"," 0.2236361700","-0.1734673467"," 0.0913699599"," 0.0230234141"
"151.95","-1201.76","-0.611","140.09","0.9151097","0.9004861","10.0444609","-7.816919130"," 3.599992768"," 9.073550073"," 2.852750591"," 2.499209779"," 0.282442796","-0.873118845","-0.538447659"," 2.083394051","-0.782749222"," 0.223979039","-0.340414278","-0.140771683"," 0.004512819","-0.179350118"," 0.096399930"
"150.81","-332.15","-0.611","140.09","0.9148509","0.8787257","8.2276399","-7.81691913"," 3.64014486"," 7.33348492"," 2.85275059"," 2.49920978","-0.23009770","-0.87242441","-0.18104514"," 1.16095476","-0.42189627"," 0.22397904"," 0.13884528"," 0.11847457","-0.26306855"," 0.07166140","-0.02641411"
"153.74","154.47","-0.611","140.09","0.9139064","0.8502010","6.6164269","-7.81691913"," 2.94516355"," 5.69853001"," 2.85275059"," 2.49920978"," 0.08385139","-0.92506749","-0.41578176"," 0.57580634"," 0.42203430"," 0.22397904","-0.23640483"," 0.08257709"," 0.21515609"," 0.37990904"," 0.03163289"
"154.33","-1201.76","-0.755","139.04","0.9137329","0.8042301","4.9238180","-7.81691913"," 3.93512034"," 9.07355007","-2.27100831","-0.51816555"," 0.05249803","-0.17770823"," 1.10408593","-1.37231487"," 0.67780835","-0.24948495"," 0.58916397","-0.18283056"," 0.69197433"," 1.26562381"," 0.12242481"
"154.33","156.88","-0.611","140.09","0.9126694","0.9107701","11.2053038","-7.81691913"," 3.93512034"," 7.82963670"," 2.85275059"," 2.49920978"," 0.58229400","-0.75093679","-0.18325430"," 0.75654724"," 0.31504510"," 0.22397904"," 0.01450406","-0.19510690","-0.06971051"," 0.43839117"," 0.77375342"
"154.33","-1201.76","-0.784","139.15","0.9120970","0.8557126","6.8816050","-7.81691913"," 3.93512034"," 9.07355007","-0.58174228"," 1.46124871"," 0.05249803"," 0.92864502","-0.23110066","-0.71107918"," 1.13046164"," 0.24719080","-0.21918651"," 0.30284937"," 0.36485891","-0.97274699","-0.08204310"
"163.09","-1201.76","-0.611","139.15","0.9113915","0.8788088","8.2333746","-7.81691913"," 0.24495780"," 9.07355007"," 2.85275059"," 1.46124871"," 2.12446249","-3.60084064","-2.96229005"," 2.08339405"," 1.13046164"," 0.67695218"," 1.65782193"," 1.55918581","-0.06833509","-0.39309439"," 0.21006860"
"150.81","156.88","-0.611","139.15","0.9105627","0.9049686","10.5198439","-7.81691913"," 3.64014486"," 7.82963670"," 2.85275059"," 1.46124871"," 0.27942300","-0.87242441","-0.44997517"," 0.75654724"," 0.34993262"," 0.67695218"," 0.49666840"," 1.43650689"," 0.02844137","-0.88966549"," 0.74057554"
"156.59","154.47","-0.611","139.15","0.9099051","0.8718557","7.7782779","-7.81691913"," 4.15165509"," 5.69853001"," 2.85275059"," 1.46124871","-0.27048651","-0.58867606","-0.21499355"," 0.57580634"," 1.11315114"," 0.67695218"," 0.01846771"," 0.35186728"," 0.39949713","-0.60179360","-0.02877947"
"151.95","-332.15","-0.784","139.04","0.9073132","0.8058254","4.9712255","-7.81691913"," 3.59999277"," 7.33348492","-0.58174228","-0.51816555","-1.11628756"," 0.79919356"," 0.43744683"," 0.16542192"," 1.33831706","-0.45653482"," 1.50824113","-0.08796261","-0.40434506"," 0.53671310"," 0.23437128"
"153.95","-1201.76","-0.611","139.04","0.9064442","0.8708841","7.7183917","-7.81691913"," 2.51688218"," 9.07355007"," 2.85275059","-0.51816555","-0.41233029","-1.41700374"," 0.04341609"," 2.08339405"," 0.67780835"," 0.70601977"," 0.03999389","-0.03399446"," 0.06362986","-0.10379903","-0.03684099"
"151.95","-1201.76","-0.784","139.15","0.9037136","0.8450735","6.3850467","-7.81691913"," 3.59999277"," 9.07355007","-0.58174228"," 1.46124871"," 0.28244280"," 0.79919356","-0.43274835","-0.71107918"," 1.13046164"," 0.24719080","-0.08754095"," 0.53116391"," 0.13936439","-0.97274699","-0.27678502"
"142.24","-1201.76","-0.611","139.04","0.9031731","0.8761724","8.0550817","-7.81691913","-0.84134113"," 9.07355007"," 2.85275059","-0.51816555"," 0.05228748"," 1.79075040","-0.02851079"," 2.08339405"," 0.67780835"," 0.70601977","-0.44512136","-0.09277423"," 0.55244489","-0.10379903"," 0.11270727"
"151.95","-1201.76","-0.784","140.09","0.9022793","0.8391588","6.1344884","-7.81691913"," 3.59999277"," 9.07355007","-0.58174228"," 2.49920978"," 0.28244280"," 0.79919356","-0.53844766","-0.71107918","-0.78274922"," 0.14951019","-0.08754095","-0.14077168"," 0.13134967"," 0.15664787"," 0.10184184"
"151.67","133.69","-0.611","139.04","0.8997416","0.8026493","4.8774396","-7.816919130","-4.273377346"," 5.504106923"," 2.852750591","-0.518165553","-0.043771256"," 6.291016557"," 0.283380352"," 0.617293639"," 0.616884346"," 0.706019773"," 0.231959550"," 0.041592812"," 0.283657048"," 0.091369960"," 0.009641346"
"151.95","156.88","-0.755","139.04","0.8989768","0.8432029","6.3039997","-7.81691913"," 3.59999277"," 7.82963670","-2.27100831","-0.51816555"," 1.16562745"," 0.07392529"," 0.43744683","-0.62861293","-0.57440960","-0.24948495"," 0.95957227"," 0.62245755"," 0.82608345"," 1.17973816"," 1.66811974"
"154.33","154.47","-0.611","139.04","0.8988953","0.8197911","5.4147999","-7.81691913"," 3.93512034"," 5.69853001"," 2.85275059","-0.51816555"," 0.18436185","-0.75093679"," 1.10408593"," 0.57580634"," 0.05818914"," 0.70601977","-0.10595363"," 0.13611597","-0.20167219","-0.42106008","-0.02147267"
"152.44","-1201.76","-0.611","139.15","0.8961418","0.8847882","8.6667082","-7.81691913"," 1.35651170"," 9.07355007"," 2.85275059"," 1.46124871"," 0.17903978","-1.49885982"," 0.25235322"," 2.08339405"," 1.13046164"," 0.67695218","-0.12451519","-0.49822986"," 0.01844343","-0.39309439","-0.08637882"
"139.05","-1201.76","-0.611","139.15","0.8959878","0.9014994","10.1481849","-7.81691913"," 0.95778736"," 9.07355007"," 2.85275059"," 1.46124871","-0.74896276","-0.39650578"," 1.22197030"," 2.08339405"," 1.13046164"," 0.67695218","-0.09181822","-0.31792643"," 0.22931043","-0.39309439"," 0.22598625"
"154.33","133.69","-0.611","139.15","0.8958665","0.8501491","6.6140134","-7.81691913"," 3.93512034"," 5.50410692"," 2.85275059"," 1.46124871","-0.73697417","-0.75093679","-0.23110066"," 0.61729364"," 0.46056003"," 0.67695218"," 1.16141102","-0.35580371","-0.41136165"," 0.06651724"," 0.18114886"
"151.67","-1201.76","-0.611","139.15","0.8955925","0.9019996","10.2001673","-7.81691913","-4.27337735"," 9.07355007"," 2.85275059"," 1.46124871","-0.08525212"," 6.29101656"," 1.18315005"," 2.08339405"," 1.13046164"," 0.67695218","-0.45397502"," 0.21031649","-1.16651648","-0.39309439","-0.57353862"
"150.81","133.69","-0.611","140.09","0.8948065","0.8674560","7.5137185","-7.8169191298"," 3.6401448641"," 5.5041069226"," 2.8527505907"," 2.4992097793"," 0.2153857646","-0.8724244051","-0.1810451444"," 0.6172936394"," 0.9951351758"," 0.2239790388"," 0.0008335701","-0.0179943255","-0.2630685481"," 0.1812219698","-0.0648912676"
"151.95","156.88","-0.611","139.04","0.8947412","0.8750107","7.9788013","-7.8169191"," 3.5999928"," 7.8296367"," 2.8527506","-0.5181656"," 1.1656275","-0.8731188"," 0.4374468"," 0.7565472","-0.5744096"," 0.7060198"," 0.6239070"," 0.6224575","-0.4217384"," 0.2715391","-0.6827723"
"154.33","-1201.76","-0.755","139.15","0.8946708","0.8190955","5.3913885","-7.81691913"," 3.93512034"," 9.07355007","-2.27100831"," 1.46124871"," 0.05249803","-0.17770823","-0.23110066","-1.37231487"," 1.13046164","-0.92414298"," 0.58916397"," 0.30284937"," 0.04650274"," 1.36584137"," 0.22734646"
"151.67","156.88","-0.611","139.15","0.8941945","0.8813525","8.4125826","-7.8169191","-4.2733773"," 7.8296367"," 2.8527506"," 1.4612487","-0.2960719"," 6.2910166"," 1.1831501"," 0.7565472"," 0.3499326"," 0.6769522"," 0.9007238","-1.4730440","-1.1665165","-0.8896655"," 2.0262185"
"152.73","-1201.76","-0.611","139.15","0.8932313","0.9013401","10.1317455","-7.8169191"," 2.9278557"," 9.0735501"," 2.8527506"," 1.4612487","-0.5542005","-0.9537040","-0.2512631"," 2.0833941"," 1.1304616"," 0.6769522","-0.1641767"," 0.1604852"," 0.1093462","-0.3930944","-0.2109411"
"153.74","133.69","-0.611","139.15","0.8932288","0.8302790","5.7871320","-7.81691913"," 2.94516355"," 5.50410692"," 2.85275059"," 1.46124871"," 0.61755359","-0.92506749","-0.51154726"," 0.61729364"," 0.46056003"," 0.67695218","-0.15315183","-0.17785263"," 0.01339941"," 0.06651724"," 0.15612443"
