"alcohol","base","sulfonyl_fluoride","y.obs","mu.hat","g(mu.hat)","intercept","a","b","sf","a:b","a:sf","b:sf","a:b:sf"
"1g","BTPP","4-Cl","0.9400000","0.8854547","8.7177103","-2.8710504283","11.4875423490"," 1.2861702712","-1.3908598447"," 0.0000000000"," 0.0001579511"," 0.2057500492"," 0.0000000000"
"1g","BTPP","PBSF","0.9400000","0.9006747","10.0636111","-2.8710504","11.4875423"," 1.2861703"," 2.8621583"," 0.0000000","-2.8598046"," 0.1585953"," 0.0000000"
"1ai","BTPP","4-Cl","0.9400000","0.8963741","9.6440617","-2.87105042826"," 6.16729877163"," 1.28617027124","-1.39085984465"," 6.24666810625"," 0.00008479893"," 0.20575004917"," 0.00000000000"
"1ai","BTPP","4-CF3","0.9300000","0.9110843","11.2449566","-2.8710504"," 6.1672988"," 1.2861703"," 0.4158699"," 6.2466681"," 0.0000000"," 0.0000000"," 0.0000000"
"1b","BTPP","4-Cl","0.9200000","0.8719416","7.7836124","-2.8710504"," 3.4448452"," 1.2861703","-1.3908598"," 4.1415834"," 1.7645568"," 0.2057500"," 1.2026169"
"1ac","MTBD","PBSF","0.9200000","0.8246017","5.5809289","-2.8710504"," 5.3504691"," 0.2834581"," 2.8621583"," 0.1144891"," 0.0000000","-0.1585953"," 0.0000000"
"1e","BTMG","4-CF3","0.9100000","0.8254423","5.6107451","-2.8710504"," 7.1904794"," 0.8754462"," 0.4158699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1g","BTMG","PyFluor","0.9100000","0.8988452","9.8808466","-2.8710504","11.4875423"," 0.8754462","-2.4707382"," 0.0000000"," 2.8596467"," 0.0000000"," 0.0000000"
"1g","BTMG","PBSF","0.9100000","0.8947488","9.4942917","-2.8710504","11.4875423"," 0.8754462"," 2.8621583"," 0.0000000","-2.8598046"," 0.0000000"," 0.0000000"
"1n","DBU","PBSF","0.9100000","0.8985896","9.8558245","-2.8710504","-3.4211933","-2.4450746"," 2.8621583"," 0.0000000","15.7309846"," 0.0000000"," 0.0000000"
"1b","BTPP","4-NO2","0.9100000","0.8495251","6.5851184","-2.8710504"," 3.4448452"," 1.2861703"," 0.5835699"," 4.1415834"," 0.0000000"," 0.0000000"," 0.0000000"
"1ai","BTPP","PyFluor","0.9100000","0.8868225","8.8242050","-2.8710504"," 6.1672988"," 1.2861703","-2.4707382"," 6.2466681"," 1.9943090","-0.3643453","-1.1641072"
"1r","BTPP","4-Cl","0.9000000","0.8506536","6.6375346","-2.87105042826"," 4.82263124507"," 1.28617027124","-1.39085984465"," 4.58482701964"," 0.00006631007"," 0.20575004917"," 0.00000000000"
"1aj","MTBD","PBSF","0.9000000","0.8102223","5.1051664","-2.8710504"," 3.4564283"," 0.2834581"," 2.8621583"," 0.4246876"," 1.1080799","-0.1585953"," 0.0000000"
"1g","MTBD","4-NO2","0.8900000","0.9254327","13.4104416","-2.8710504","11.4875423"," 0.2834581"," 0.5835699"," 3.9269217"," 0.0000000"," 0.0000000"," 0.0000000"
"1c","BTMG","PBSF","0.8900000","0.8858053","8.7447744","-2.8710504","-6.6499610"," 0.8754462"," 2.8621583"," 0.0000000","14.5281814"," 0.0000000"," 0.0000000"
"1r","BTPP","4-NO2","0.8900000","0.8812630","8.4061480","-2.8710504"," 4.8226312"," 1.2861703"," 0.5835699"," 4.5848270"," 0.0000000"," 0.0000000"," 0.0000000"
"1e","BTPP","PyFluor","0.8800000","0.7996972","4.7923740","-2.8710504"," 7.1904794"," 1.2861703","-2.4707382"," 0.1786890"," 1.8431693","-0.3643453"," 0.0000000"
"1g","MTBD","4-Cl","0.8800000","0.9134155","11.5481241","-2.8710504283","11.4875423490"," 0.2834580935","-1.3908598447"," 3.9269216545"," 0.0001579511"," 0.1119543197"," 0.0000000000"
"1l","MTBD","PBSF","0.8800000","0.7375320","3.3437721","-2.8710504"," 3.3755930"," 0.2834581"," 2.8621583","-0.1477915"," 0.0000000","-0.1585953"," 0.0000000"
"1ai","BTMG","4-NO2","0.8800000","0.8361921","6.0148135","-2.8710504"," 6.1672988"," 0.8754462"," 0.5835699"," 1.2595490"," 0.0000000"," 0.0000000"," 0.0000000"
"1e","MTBD","4-CF3","0.8700000","0.8483125","6.5295791","-2.8710504"," 7.1904794"," 0.2834581"," 0.4158699"," 1.5108222"," 0.0000000"," 0.0000000"," 0.0000000"
"1e","BTMG","4-NO2","0.8700000","0.8300462","5.7784451","-2.8710504"," 7.1904794"," 0.8754462"," 0.5835699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1e","BTPP","4-Cl","0.8700000","0.7927359","4.5992773","-2.87105042826"," 7.19047940096"," 1.28617027124","-1.39085984465"," 0.17868895117"," 0.00009886743"," 0.20575004917"," 0.00000000000"
"1aa","BTMG","PBSF","0.8700000","0.7128550","2.8905059","-2.8710504"," 2.0239518"," 0.8754462"," 2.8621583"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1ag","BTMG","4-Cl","0.8700000","0.7326514","3.2501024","-2.87105043"," 6.63647525"," 0.87544621","-1.39085984"," 0.00000000"," 0.00009125"," 0.00000000"," 0.00000000"
"1z","MTBD","4-CF3","0.8600000","0.8433580","6.3106549","-2.8710504"," 7.2242014"," 0.2834581"," 0.4158699"," 1.2581760"," 0.0000000"," 0.0000000"," 0.0000000"
"1z","BTMG","4-NO2","0.8600000","0.8859820","8.7584753","-2.8710504"," 7.2242014"," 0.8754462"," 0.5835699"," 0.4927760"," 2.4535323"," 0.0000000"," 0.0000000"
"1ag","MTBD","4-Cl","0.8600000","0.7508783","3.6117166","-2.87105043"," 6.63647525"," 0.28345809","-1.39085984"," 0.84164800"," 0.00009125"," 0.11195432"," 0.00000000"
"1ai","BTMG","4-Cl","0.8600000","0.7704081","4.0404685","-2.87105042826"," 6.16729877163"," 0.87544620546","-1.39085984465"," 1.25954901602"," 0.00008479893"," 0.00000000000"," 0.00000000000"
"1ai","BTMG","4-CF3","0.8600000","0.8318720","5.8471134","-2.8710504"," 6.1672988"," 0.8754462"," 0.4158699"," 1.2595490"," 0.0000000"," 0.0000000"," 0.0000000"
"1aj","BTPP","PBSF","0.8600000","0.8013373","4.8393871","-2.8710504"," 3.4564283"," 1.2861703"," 2.8621583","-1.1609944"," 1.1080799"," 0.1585953"," 0.0000000"
"1ak","BTMG","4-NO2","0.8600000","0.7735000","4.1130201","-2.87105042826"," 5.52513053299"," 0.87544620546"," 0.58356992498","-0.00007616785"," 0.00000000000"," 0.00000000000"," 0.00000000000"
"1r","BTMG","4-CF3","0.8500000","0.7938112","4.6284502","-2.8710504"," 4.8226312"," 0.8754462"," 0.4158699"," 1.3855533"," 0.0000000"," 0.0000000"," 0.0000000"
"1r","BTPP","PyFluor","0.8500000","0.9043820","10.4551354","-2.8710504"," 4.8226312"," 1.2861703","-2.4707382"," 4.5848270"," 3.6701579","-0.3643453"," 1.7974829"
"1ag","MTBD","4-NO2","0.8500000","0.8215333","5.4741008","-2.8710504"," 6.6364753"," 0.2834581"," 0.5835699"," 0.8416480"," 0.0000000"," 0.0000000"," 0.0000000"
"1ag","BTMG","4-CF3","0.8500000","0.8086512","5.0567409","-2.8710504"," 6.6364753"," 0.8754462"," 0.4158699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1aj","BTMG","PBSF","0.8500000","0.7681930","3.9893399","-2.8710504"," 3.4564283"," 0.8754462"," 2.8621583","-1.4417223"," 1.1080799"," 0.0000000"," 0.0000000"
"1e","BTMG","PBSF","0.8400000","0.8410727","6.2137652","-2.8710504"," 7.1904794"," 0.8754462"," 2.8621583"," 0.0000000","-1.8432682"," 0.0000000"," 0.0000000"
"1g","MTBD","PyFluor","0.8400000","0.9246007","13.2624211","-2.87105043","11.48754235"," 0.28345809","-2.47073822"," 3.92692165"," 2.85964670"," 0.04664096"," 0.00000000"
"1r","BTMG","4-NO2","0.8400000","0.7998298","4.7961503","-2.8710504"," 4.8226312"," 0.8754462"," 0.5835699"," 1.3855533"," 0.0000000"," 0.0000000"," 0.0000000"
"1z","BTMG","4-CF3","0.8400000","0.8392259","6.1372430","-2.8710504"," 7.2242014"," 0.8754462"," 0.4158699"," 0.4927760"," 0.0000000"," 0.0000000"," 0.0000000"
"1ac","BTMG","PBSF","0.8400000","0.8411505","6.2170232","-2.8710504"," 5.3504691"," 0.8754462"," 2.8621583"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1ak","MTBD","PBSF","0.8400000","0.7950179","4.6614625","-2.8710504"," 5.5251305"," 0.2834581"," 2.8621583"," 0.6652772","-1.6449159","-0.1585953"," 0.0000000"
"1ak","BTMG","PBSF","0.8400000","0.7980834","4.7466925","-2.87105042826"," 5.52513053299"," 0.87544620546"," 2.86215826566","-0.00007616785","-1.64491587494"," 0.00000000000"," 0.00000000000"
"1e","BTPP","4-NO2","0.8300000","0.8446801","6.3678581","-2.8710504"," 7.1904794"," 1.2861703"," 0.5835699"," 0.1786890"," 0.0000000"," 0.0000000"," 0.0000000"
"1c","DBU","PBSF","0.8300000","0.8522245","6.7117008","-2.8710504","-6.6499610","-2.4450746"," 2.8621583"," 1.2874471","14.5281814"," 0.0000000"," 0.0000000"
"1b","BTMG","4-Cl","0.8300000","0.6794479","2.3431337","-2.8710504"," 3.4448452"," 0.8754462","-1.3908598"," 0.5201958"," 1.7645568"," 0.0000000"," 0.0000000"
"1b","BTMG","4-CF3","0.8300000","0.6821620","2.3853066","-2.8710504"," 3.4448452"," 0.8754462"," 0.4158699"," 0.5201958"," 0.0000000"," 0.0000000"," 0.0000000"
"1b","BTMG","4-NO2","0.8300000","0.6927240","2.5530067","-2.8710504"," 3.4448452"," 0.8754462"," 0.5835699"," 0.5201958"," 0.0000000"," 0.0000000"," 0.0000000"
"1z","BTPP","PBSF","0.8300000","0.8243459","5.5719052","-2.8710504"," 7.2242014"," 1.2861703"," 2.8621583","-0.9260661","-3.6761920"," 0.1585953"," 1.5140886"
"1e","MTBD","4-NO2","0.8200000","0.8519214","6.6972792","-2.8710504"," 7.1904794"," 0.2834581"," 0.5835699"," 1.5108222"," 0.0000000"," 0.0000000"," 0.0000000"
"1g","MTBD","PBSF","0.8200000","0.9210805","12.6706300","-2.8710504","11.4875423"," 0.2834581"," 2.8621583"," 3.9269217","-2.8598046","-0.1585953"," 0.0000000"
"1h","BTMG","4-NO2","0.8200000","0.7472451","3.5369554","-2.8710504"," 4.9489897"," 0.8754462"," 0.5835699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1c","BTPP","PBSF","0.8200000","0.8927260","9.3140938","-2.8710504","-6.6499610"," 1.2861703"," 2.8621583"," 0.0000000","14.5281814"," 0.1585953"," 0.0000000"
"1l","BTPP","PBSF","0.8200000","0.8003643","4.8114235","-2.87105042826"," 3.37559302829"," 1.28617027124"," 2.86215826566","-0.00004292009"," 0.00000000000"," 0.15859527490"," 0.00000000000"
"1v","BTPP","PBSF","0.8200000","0.6491358","1.8939888","-2.8710504"," 2.2545213"," 1.2861703"," 2.8621583","-0.7127915","-1.0836144"," 0.1585953"," 0.0000000"
"1z","MTBD","4-NO2","0.8200000","0.8881737","8.9318873","-2.8710504"," 7.2242014"," 0.2834581"," 0.5835699"," 1.2581760"," 2.4535323"," 0.0000000"," 0.0000000"
"1z","BTPP","4-CF3","0.8200000","0.8109920","5.1291249","-2.8710504"," 7.2242014"," 1.2861703"," 0.4158699","-0.9260661"," 0.0000000"," 0.0000000"," 0.0000000"
"1ag","BTMG","PyFluor","0.8200000","0.8274665","5.6835423","-2.8710504"," 6.6364753"," 0.8754462","-2.4707382"," 0.0000000"," 3.5134095"," 0.0000000"," 0.0000000"
"1aj","DBU","PBSF","0.8200000","0.7807376","4.2885704","-2.8710504"," 3.4564283","-2.4450746"," 2.8621583"," 2.1780290"," 1.1080799"," 0.0000000"," 0.0000000"
"1ak","MTBD","4-NO2","0.8200000","0.7765662","4.1863853","-2.8710504"," 5.5251305"," 0.2834581"," 0.5835699"," 0.6652772"," 0.0000000"," 0.0000000"," 0.0000000"
"1ak","BTPP","PBSF","0.8200000","0.8168245","5.3159761","-2.8710504283"," 5.5251305330"," 1.2861702712"," 2.8621582657","-0.0001119027","-1.6449158749"," 0.1585952749"," 0.0000000000"
"1ac","BTMG","4-CF3","0.8100000","0.7583780","3.7707348","-2.8710504"," 5.3504691"," 0.8754462"," 0.4158699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1ai","BTMG","PBSF","0.8100000","0.8430864","6.2990080","-2.8710504"," 6.1672988"," 0.8754462"," 2.8621583"," 1.2595490","-1.9943938"," 0.0000000"," 0.0000000"
"1ak","MTBD","4-Cl","0.8100000","0.6782031","2.3239099","-2.8710504"," 5.5251305"," 0.2834581","-1.3908598"," 0.6652772"," 0.0000000"," 0.1119543"," 0.0000000"
"1ak","MTBD","4-CF3","0.8100000","0.7694681","4.0186853","-2.8710504"," 5.5251305"," 0.2834581"," 0.4158699"," 0.6652772"," 0.0000000"," 0.0000000"," 0.0000000"
"1e","MTBD","PBSF","0.8000000","0.8575471","6.9740040","-2.8710504"," 7.1904794"," 0.2834581"," 2.8621583"," 1.5108222","-1.8432682","-0.1585953"," 0.0000000"
"1h","BTMG","4-CF3","0.8000000","0.7388404","3.3692554","-2.8710504"," 4.9489897"," 0.8754462"," 0.4158699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1j","MTBD","4-CF3","0.8000000","0.7750273","4.1493829","-2.8710504"," 5.1135084"," 0.2834581"," 0.4158699"," 1.2075969"," 0.0000000"," 0.0000000"," 0.0000000"
"1j","BTMG","4-CF3","0.8000000","0.7470889","3.5337741","-2.8710504"," 5.1135084"," 0.8754462"," 0.4158699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1m","MTBD","PBSF","0.8000000","0.7900431","4.5272287"," -2.8710504","-10.3912925","  0.2834581","  2.8621583","  0.0000000"," 14.8025506"," -0.1585953","  0.0000000"
"1ac","BTMG","PyFluor","0.8000000","0.7372388","3.3380826","-2.8710504"," 5.3504691"," 0.8754462","-2.4707382"," 0.0000000"," 2.4539559"," 0.0000000"," 0.0000000"
"1ag","MTBD","PyFluor","0.8000000","0.8353072","5.9798431","-2.87105043"," 6.63647525"," 0.28345809","-2.47073822"," 0.84164800"," 3.51340946"," 0.04664096"," 0.00000000"
"1ag","BTPP","4-Cl","0.8000000","0.7256090","3.1186160","-2.87105043"," 6.63647525"," 1.28617027","-1.39085984","-0.74796059"," 0.00009125"," 0.20575005"," 0.00000000"
"1ag","BTPP","PyFluor","0.8000000","0.8061838","4.9819604","-2.8710504"," 6.6364753"," 1.2861703","-2.4707382","-0.7479606"," 3.5134095","-0.3643453"," 0.0000000"
"1ag","BTPP","PBSF","0.8000000","0.7602232","3.8108873","-2.8710504"," 6.6364753"," 1.2861703"," 2.8621583","-0.7479606","-3.5135007"," 0.1585953"," 0.0000000"
"1ai","BTMG","PyFluor","0.8000000","0.8052755","4.9548144","-2.8710504"," 6.1672988"," 0.8754462","-2.4707382"," 1.2595490"," 1.9943090"," 0.0000000"," 0.0000000"
"1e","BTMG","PyFluor","0.7900000","0.7915475","4.5673063","-2.8710504"," 7.1904794"," 0.8754462","-2.4707382"," 0.0000000"," 1.8431693"," 0.0000000"," 0.0000000"
"1c","MTBD","PBSF","0.7900000","0.8521205","6.7067439","-2.8710504","-6.6499610"," 0.2834581"," 2.8621583","-1.2874471","14.5281814","-0.1585953"," 0.0000000"
"1l","BTMG","PBSF","0.7900000","0.7318160","3.2342836","-2.8710504"," 3.3755930"," 0.8754462"," 2.8621583","-1.0078635"," 0.0000000"," 0.0000000"," 0.0000000"
"1r","BTMG","4-Cl","0.7900000","0.7088783","2.8217868","-2.87105042826"," 4.82263124507"," 0.87544620546","-1.39085984465"," 1.38555334560"," 0.00006631007"," 0.00000000000"," 0.00000000000"
"1z","MTBD","PyFluor","0.7900000","0.8390921","6.1317586","-2.87105043"," 7.22420135"," 0.28345809","-2.47073822"," 1.25817605"," 2.06369390"," 0.04664096"," 0.59737685"
"1z","BTMG","PyFluor","0.7900000","0.8167744","5.3143288","-2.8710504"," 7.2242014"," 0.8754462","-2.4707382"," 0.4927760"," 2.0636939"," 0.0000000"," 0.0000000"
"1aa","MTBD","PBSF","0.7900000","0.7084900","2.8151338","-2.8710504"," 2.0239518"," 0.2834581"," 2.8621583"," 0.6752113"," 0.0000000","-0.1585953"," 0.0000000"
"1ac","BTMG","4-Cl","0.7900000","0.6540347","1.9641222","-2.8710504283"," 5.3504691156"," 0.8754462055","-1.3908598447"," 0.0000000000"," 0.0001171858"," 0.0000000000"," 0.0000000000"
"1ac","BTPP","PBSF","0.7900000","0.8168921","5.3181988","-2.8710504"," 5.3504691"," 1.2861703"," 2.8621583","-1.4681437"," 0.0000000"," 0.1585953"," 0.0000000"
"1ag","MTBD","4-CF3","0.7900000","0.8165328","5.3064008","-2.8710504"," 6.6364753"," 0.2834581"," 0.4158699"," 0.8416480"," 0.0000000"," 0.0000000"," 0.0000000"
"1ag","BTMG","4-NO2","0.7900000","0.8140045","5.2244410","-2.8710504"," 6.6364753"," 0.8754462"," 0.5835699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1e","MTBD","PyFluor","0.7800000","0.8232298","5.5327813","-2.87105043"," 7.19047940"," 0.28345809","-2.47073822"," 1.51082220"," 1.84316934"," 0.04664096"," 0.00000000"
"1e","BTMG","4-Cl","0.7800000","0.7599133","3.8041142","-2.87105042826"," 7.19047940096"," 0.87544620546","-1.39085984465"," 0.00000000000"," 0.00009886743"," 0.00000000000"," 0.00000000000"
"1h","BTPP","4-CF3","0.7800000","0.6880432","2.4779612","-2.8710504"," 4.9489897"," 1.2861703"," 0.4158699","-1.3020182"," 0.0000000"," 0.0000000"," 0.0000000"
"1z","BTMG","PBSF","0.7800000","0.8036708","4.9073394","-2.8710504"," 7.2242014"," 0.8754462"," 2.8621583"," 0.4927760","-3.6761920"," 0.0000000"," 0.0000000"
"1ak","BTMG","4-CF3","0.7800000","0.7662618","3.9453200","-2.87105042826"," 5.52513053299"," 0.87544620546"," 0.41586987605","-0.00007616785"," 0.00000000000"," 0.00000000000"," 0.00000000000"
"1ak","BTPP","4-Cl","0.7800000","0.7049553","2.7550287","-2.8710504283"," 5.5251305330"," 1.2861702712","-1.3908598447","-0.0001119027"," 0.0000000000"," 0.2057500492"," 0.0000000000"
"1ak","BTPP","4-CF3","0.7800000","0.7834283","4.3560083","-2.8710504283"," 5.5251305330"," 1.2861702712"," 0.4158698760","-0.0001119027"," 0.0000000000"," 0.0000000000"," 0.0000000000"
"1j","MTBD","4-NO2","0.7700000","0.7818812","4.3170829","-2.8710504"," 5.1135084"," 0.2834581"," 0.5835699"," 1.2075969"," 0.0000000"," 0.0000000"," 0.0000000"
"1j","BTMG","4-NO2","0.7700000","0.7551494","3.7014741","-2.8710504"," 5.1135084"," 0.8754462"," 0.5835699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1b","BTPP","PyFluor","0.7700000","0.8062239","4.9831631","-2.87105043"," 3.44484523"," 1.28617027","-2.47073822"," 4.14158344"," 1.80621764","-0.36434532"," 0.01048046"
"1z","MTBD","PBSF","0.7700000","0.7408172","3.4080675","-2.8710504"," 7.2242014"," 0.2834581"," 2.8621583"," 1.2581760","-3.6761920","-0.1585953","-1.5140886"
"1z","BTPP","PyFluor","0.7700000","0.7517752","3.6303938","-2.8710504"," 7.2242014"," 1.2861703","-2.4707382","-0.9260661"," 2.0636939","-0.3643453","-0.3114716"
"1e","MTBD","4-Cl","0.7600000","0.8011817","4.8349026","-2.87105042826"," 7.19047940096"," 0.28345809354","-1.39085984465"," 1.51082219766"," 0.00009886743"," 0.11195431970"," 0.00000000000"
"1h","BTMG","PBSF","0.7600000","0.7174983","2.9721465","-2.8710504"," 4.9489897"," 0.8754462"," 2.8621583"," 0.0000000","-2.8433973"," 0.0000000"," 0.0000000"
"1j","BTMG","PyFluor","0.7600000","0.7832627","4.3518229","-2.8710504"," 5.1135084"," 0.8754462","-2.4707382"," 0.0000000"," 3.7046570"," 0.0000000"," 0.0000000"
"1l","DBU","PBSF","0.7600000","0.6618148","2.0773243","-2.8710504"," 3.3755930","-2.4450746"," 2.8621583"," 1.1556980"," 0.0000000"," 0.0000000"," 0.0000000"
"1ag","BTPP","4-NO2","0.7600000","0.8029838","4.8872044","-2.8710504"," 6.6364753"," 1.2861703"," 0.5835699","-0.7479606"," 0.0000000"," 0.0000000"," 0.0000000"
"1aj","MTBD","4-NO2","0.7600000","0.6479468","1.8770935","-2.8710504"," 3.4564283"," 0.2834581"," 0.5835699"," 0.4246876"," 0.0000000"," 0.0000000"," 0.0000000"
"1ak","BTPP","4-NO2","0.7600000","0.7899101","4.5237084","-2.8710504283"," 5.5251305330"," 1.2861702712"," 0.5835699250","-0.0001119027"," 0.0000000000"," 0.0000000000"," 0.0000000000"
"1j","BTPP","PyFluor","0.7500000","0.7384591","3.3618128","-2.8710504"," 5.1135084"," 1.2861703","-2.4707382","-1.2077938"," 3.7046570","-0.3643453"," 0.1714049"
"1z","MTBD","4-Cl","0.7500000","0.7961085","4.6915570","-2.8710504"," 7.2242014"," 0.2834581","-1.3908598"," 1.2581760","-0.8410342"," 0.1119543"," 0.9167117"
"1ac","BTPP","4-Cl","0.7500000","0.5908469","1.1124526","-2.8710504283"," 5.3504691156"," 1.2861702712","-1.3908598447","-1.4681437186"," 0.0001171858"," 0.2057500492"," 0.0000000000"
"1ag","BTPP","4-CF3","0.7500000","0.7971132","4.7195044","-2.8710504"," 6.6364753"," 1.2861703"," 0.4158699","-0.7479606"," 0.0000000"," 0.0000000"," 0.0000000"
"1h","DBU","4-NO2","0.7400000","0.6787450","2.3322689","-2.8710504"," 4.9489897","-2.4450746"," 0.5835699"," 2.1158343"," 0.0000000"," 0.0000000"," 0.0000000"
"1j","MTBD","PyFluor","0.7400000","0.8014509","4.8426678","-2.87105043"," 5.11350840"," 0.28345809","-2.47073822"," 1.20759695"," 3.70465697"," 0.04664096","-0.17140492"
"1d","MTBD","PBSF","0.7400000","0.6796529","2.3463057","-2.87105042826"," 2.05624335459"," 0.28345809354"," 2.86215826566"," 0.17418437178","-0.00009267612","-0.15859527490"," 0.00000000000"
"1r","BTMG","PyFluor","0.7400000","0.8197081","5.4120000","-2.8710504"," 4.8226312"," 0.8754462","-2.4707382"," 1.3855533"," 3.6701579"," 0.0000000"," 0.0000000"
"1z","BTMG","4-Cl","0.7400000","0.7449016","3.4894791","-2.8710504"," 7.2242014"," 0.8754462","-1.3908598"," 0.4927760","-0.8410342"," 0.0000000"," 0.0000000"
"1z","BTPP","4-NO2","0.7400000","0.8714045","7.7503573","-2.8710504"," 7.2242014"," 1.2861703"," 0.5835699","-0.9260661"," 2.4535323"," 0.0000000"," 0.0000000"
"1ac","DBU","PBSF","0.7400000","0.7791829","4.2501570","-2.8710504"," 5.3504691","-2.4450746"," 2.8621583"," 1.3536546"," 0.0000000"," 0.0000000"," 0.0000000"
"1ag","BTMG","PBSF","0.7400000","0.7682013","3.9895286","-2.8710504"," 6.6364753"," 0.8754462"," 2.8621583"," 0.0000000","-3.5135007"," 0.0000000"," 0.0000000"
"1j","BTMG","4-Cl","0.7300000","0.6372468","1.7271563","-2.8710504283"," 5.1135084016"," 0.8754462055","-1.3908598447"," 0.0000000000"," 0.0001119959"," 0.0000000000"," 0.0000000000"
"1j","BTPP","4-NO2","0.7300000","0.7136517","2.9044043","-2.8710504"," 5.1135084"," 1.2861703"," 0.5835699","-1.2077938"," 0.0000000"," 0.0000000"," 0.0000000"
"1ag","MTBD","PBSF","0.7300000","0.7721255","4.0805932","-2.8710504"," 6.6364753"," 0.2834581"," 2.8621583"," 0.8416480","-3.5135007","-0.1585953"," 0.0000000"
"1ak","MTBD","PyFluor","0.7300000","0.7089860","2.8236340","-2.87105043"," 5.52513053"," 0.28345809","-2.47073822"," 0.66527721"," 1.64491587"," 0.04664096"," 0.00000000"
"1h","MTBD","4-CF3","0.7200000","0.6539881","1.9634512","-2.8710504"," 4.9489897"," 0.2834581"," 0.4158699","-0.8138161"," 0.0000000"," 0.0000000"," 0.0000000"
"1h","BTPP","PBSF","0.7200000","0.7042562","2.7432371","-2.8710504"," 4.9489897"," 1.2861703"," 2.8621583","-1.3020182","-2.8433973"," 0.1585953"," 0.5037895"
